0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,,,,,,,
0.970428,0.761107,0.757851,0.952442,0.483046,0.545174,0.285211,0.230012,0.955373,0.157176,0.647404,0.975382,0.523892,0.511573
0.761107,0.924386,0.672212,0.854241,0.573655,0.623632,0.723634,0.719967,0.839617,0.513871,0.632421,0.802623,0.766548,0.782742
0.757851,0.672212,0.899688,0.751773,0.74261,0.778874,0.701996,0.695253,0.685714,0.838819,0.68784,0.708115,0.728242,0.822645
0.952442,0.854241,0.751773,0.978167,0.436391,0.438083,0.449562,0.274132,0.964769,0.007791,0.293358,0.982421,0.273018,0.53509
0.483046,0.573655,0.74261,0.436391,0.948741,0.832127,0.90119,0.838419,0.430614,0.876066,0.791491,0.553558,0.804614,0.632744
0.545174,0.623632,0.778874,0.438083,0.832127,0.934346,0.803932,0.820714,0.607336,0.811458,0.872406,0.315426,0.702754,0.819326
0.285211,0.723634,0.701996,0.449562,0.90119,0.803932,0.960256,0.897207,0.349716,0.88675,0.722564,0.286223,0.795901,0.772398
0.230012,0.719967,0.695253,0.274132,0.838419,0.820714,0.897207,0.944066,0.246496,0.929314,0.836473,0.030242,0.87301,0.880162
0.955373,0.839617,0.685714,0.964769,0.430614,0.607336,0.349716,0.246496,0.977315,-0.009598,0.607403,0.976486,0.386089,0.43299
0.157176,0.513871,0.838819,0.007791,0.876066,0.811458,0.88675,0.929314,-0.009598,0.981563,0.843402,-0.341684,0.910495,0.887832
0.647404,0.632421,0.68784,0.293358,0.791491,0.872406,0.722564,0.836473,0.607403,0.843402,0.942148,0.28806,0.853959,0.74283
0.975382,0.802623,0.708115,0.982421,0.553558,0.315426,0.286223,0.030242,0.976486,-0.341684,0.28806,0.994203,0.274173,0.33424
0.523892,0.766548,0.728242,0.273018,0.804614,0.702754,0.795901,0.87301,0.386089,0.910495,0.853959,0.274173,0.953768,0.81745
0.511573,0.782742,0.822645,0.53509,0.632744,0.819326,0.772398,0.880162,0.43299,0.887832,0.74283,0.33424,0.81745,0.934743
,,,,,,,,,,,,,
0.970428,0.761107,0.757851,0.952442,0.483046,0.545174,0.285211,0.230012,0.955373,0.157176,0.647404,0.975382,0.523892,0.511573
